slug-id|benefit_index|period_key|numeric_value
american-express-platinum-card|3|2025_01|15
american-express-platinum-card|3|2025_02|15
american-express-platinum-card|3|2025_03|15
american-express-platinum-card|3|2025_04|15
american-express-platinum-card|3|2025_05|15
american-express-platinum-card|3|2025_06|15
american-express-platinum-card|3|2025_07|15
american-express-platinum-card|3|2025_08|15
american-express-platinum-card|3|2025_09|15
american-express-platinum-card|3|2025_10|15
american-express-platinum-card|3|2025_11|15
american-express-platinum-card|3|2025_12|35
american-express-platinum-card|3|2026_01|15
american-express-platinum-card|3|2026_02|15
american-express-platinum-card|3|2026_03|15
american-express-platinum-card|3|2026_04|15
american-express-platinum-card|3|2026_05|15
american-express-platinum-card|3|2026_06|15
american-express-platinum-card|3|2026_07|15
american-express-platinum-card|3|2026_08|15
american-express-platinum-card|3|2026_09|15
american-express-platinum-card|3|2026_10|15
american-express-platinum-card|3|2026_11|15
american-express-platinum-card|3|2026_12|35
